date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:50	88847/88847	---MCZ	200	added ('OK')	text/html	etag:%22ac6f4033d01870ee4c93b87be69c9f38%22	https://webredox.net/demo/wp/gmag/blog-fullwidth/	D:/blog_1/webredox.net/demo/wp/gmag/blog-fullwidth/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:51	66427/66427	---MCZ	200	added ('OK')	text/html	etag:%228235e2bcf45bb51a225bb3070d67449d%22	https://webredox.net/demo/wp/gmag/london-stay-most-popular-city/	D:/blog_1/webredox.net/demo/wp/gmag/london-stay-most-popular-city/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:51	61719/61719	---MCZ	200	added ('OK')	text/html	etag:%224845a349ccae31a6ae85ae495502be56%22	https://webredox.net/demo/wp/gmag/business/	D:/blog_1/webredox.net/demo/wp/gmag/business/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:51	139440/139440	---M--	200	added ('OK')	image/jpeg	etag:%22220b0-5e141b93cbf97%22	https://webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/banner.jpg	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/banner.jpg	(from https://webredox.net/demo/wp/gmag/)
10:11:51	91243/91243	---MCZ	200	added ('OK')	text/html	etag:%224619a45d92e09b6fb83f22204d0a4254%22	https://webredox.net/demo/wp/gmag/technology/	D:/blog_1/webredox.net/demo/wp/gmag/technology/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:52	58274/58274	---M-Z	200	added ('OK')	text/html	etag:%222d18-61c8b26abf9b4%22	https://webredox.net/demo/wp/gmag/shop/	D:/blog_1/webredox.net/demo/wp/gmag/shop/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:52	61585/61585	---M--	200	added ('OK')	image/jpeg	etag:%22f091-5e0f3f34defee%22	https://webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/55-758x520.jpg	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/55-758x520.jpg	(from https://webredox.net/demo/wp/gmag/)
10:11:53	69245/69245	---M--	200	added ('OK')	image/jpeg	etag:%2210e7d-5e158baef35a9%22	https://webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/46-758x520.jpg	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/46-758x520.jpg	(from https://webredox.net/demo/wp/gmag/)
10:11:53	60943/60943	---M--	200	added ('OK')	image/jpeg	etag:%22ee0f-5e0f2f7a9769f%22	https://webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/20-758x520.jpg	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/20-758x520.jpg	(from https://webredox.net/demo/wp/gmag/)
10:11:53	47603/47603	---M-Z	200	added ('OK')	text/html	etag:%222d3c-61c8b00bb6994%22	https://webredox.net/demo/wp/gmag/contacts/	D:/blog_1/webredox.net/demo/wp/gmag/contacts/index.html	(from https://webredox.net/demo/wp/gmag/)
